game_id;recom
761140;['Guns and Robots - Veteran Pack', 'Cosmic Kites', 'Haunted Hotel: Stay in the Light', 'Blockwick 2', 'Talisman: The Horus Heresy - Heroes & Villains 2']
643980;['Medieval Defenders - Soundtrack', 'Dynasty Feud - The Night Party', 'OMSI 2 Add-on K-Bergbahn', 'Matryoshka Strike', 'Blue Horizon']
670290;"['Cards of Chaos', 'Linea, the Game - Broken Chiptunes', ""NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack"", 'HITMAN™', 'Panzermadels: Tank Dating Simulator']"
767400;['Zaccaria Pinball - Star God Table', 'Beyond the Void', 'ARC Continuum', 'Android John 2.1', 'Repulsanoid']
772540;"['Beach Rules', 'The first thrust of God', 'LOST PLANET® 3', ""NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack"", 'HITMAN™']"
774277;['Dark Throne', 'Slice&Dice', 'Gakuen Club', 'Canadian Football 2017', 'Train Simulator: BR Blue Diesel Electric Pack Loco Add-On']
774278;"['CoH 2 - The Western Front Armies: Oberkommando West', ""Sid Meier's Starships"", 'Flesh Eaters - new maps', ""Druid's Tale: Crystal Cave"", 'Star Wars: Imperial Assault - Legends of the Alliance']"
768800;['Winter Sports Trilogy Super Pack', 'Watergate Xtreme', 'Ringies', 'Gauntlet of IRE', 'MINDNIGHT']
768570;['Zaccaria Pinball - Star God Table', 'Beyond the Void', 'Yatzy', 'Warhammer: End Times - Vermintide Death on the Reik', '7 Mages Soundtrack']
770380;['Planetarium 2 - Zen Odyssey', 'Jet Buster', 'Operation Abyss: New Tokyo Legacy / 東京新世録 オペレーションアビス', 'Wordlase', 'Hurricane']
768880;"['The first thrust of God', 'Battle Royale Trainer', 'LOST PLANET® 3', ""NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack"", 'HITMAN™']"
765320;['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Jet Buster', 'Operation Abyss: New Tokyo Legacy / 東京新世録 オペレーションアビス', 'Wordlase', 'Extreme-G 2']
773650;"['Beach Rules', 'Battle Royale Trainer', 'LOST PLANET® 3', ""NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack"", 'HITMAN™']"
774271;"['LEGO® Marvel Super Heroes 2', 'Archamon', 'Neighborhorde', ""Kio's Adventure"", 'Killer Instinct - The Complete Soundtrack']"
773690;['CountDown', 'SNOW - Lifetime Pack', 'Oxenfree', 'Music - Europa Universalis IV: The Rus Awakening', 'SUPER ARMY OF TENTACLES 3, XPACK II: Call of Koithulhu']
774279;['CountDown', 'The first thrust of God - All Aircrafts', 'Oxenfree', 'Brighter Day', 'SUPER ARMY OF TENTACLES 3, XPACK II: Call of Koithulhu']
768060;['Plastic Playground', 'Typefighters (Steam Edition)', 'Devil Sealing Stone', 'Inexistence', 'JiPS']
775880;"['Remaining in a dream', 'Pinball FX3 - Star Wars™ Pinball: Balance of the Force', 'X-Plane 11 - Add-on: Aerosoft - Airport Calvi', ""Dr. Dungeon's MADMAN!"", 'Episode 8 - Beauty and the Beast']"
775881;['FPS - Fun Puzzle Shooter', 'Fate/EXTELLA - Spring Casual', 'Saints Row 2', 'Wars Across the World: Waterloo 1815', 'HardBall']
653960;['Space Hero Line', 'Zombie Exodus: Safe Haven - Skill Point Bonus', 'Halloween Mysteries', 'Pixel Puzzles Ultimate - Puzzle Pack: Trains', 'Fallout 4 - Creation Club']
282010;"['Souland', ""Sentience: The Android's Tale"", 'DeathCrank', 'RPG Maker VX Ace - Pirate Ship Tiles', 'Blackfaun']"
70;['X-Plane 10 AddOn - Aerosoft - Airport Pullman-Moscow', 'FSX Steam Edition - Night Environment: Norway Add-On', 'Defiance - Obliterator T.I.T.A.N. Bundle', 'Fugl', 'Moe Mekuri SP -Moe Mekuri 1 VOCAL COLLECTION-']
752360;['X-Plane 10 Global - 64 Bit', 'Euro Truck Simulator 2 - Turkish Paint Jobs Pack', 'Time Leap Paradise SUPER LIVE! Encore Pack', 'Cossacks: Back to War', 'Puzzler World']
520680;['Life of Rome', 'Infernal Racket', 'BlackShot - Black Pack', 'World In Danger', 'The Warrior Of Treasures']
690410;['Mad Games Tycoon', 'WALLSLIDE', 'ATOMEGA', 'The Adventurer and His Backpack', 'Duped']
766850;['F.E.X (Forced Evolution Experiment)', 'Sisyphus Reborn Soundtrack', 'Voidrunner', 'Enforcer: Original Soundtrack', 'Strike Squadron: Caracará']
413120;['Defense Warfare', 'Spiritual Warfare & Wisdom Tree Collection', 'Win That War!', 'iHUGU', 'Dog Theatre']
773120;['ONLY A', 'Bai Qu OST', 'Woodle Tree 2: Worlds', 'Star Wars: Imperial Assault - Legends of the Alliance', 'FSX Steam Edition: Toposim Mexico Add-On']
716110;"[""Disciples II: Gallean's Return"", 'Beachhead: DESERT WAR', 'Nadia Was Here', 'A Small Robot Story', 'Space Thinger']"
1640;['Beachhead: DESERT WAR', 'Nadia Was Here', 'Bitcoin Clicker', 'Zaccaria Pinball - Star God Table', 'Beyond the Void']
1630;['OMSI 2 Add-On Citybus O405/O405G', 'Debris', 'SWARMRIDER OMEGA OST', 'Freddi Fish and The Case of the Missing Kelp Seeds', 'A Tale of Two Kingdoms']
2400;"[""Old Man's Journey"", 'Soldier Front 2', 'Hearts of Iron III: For the Motherland', 'Maia', 'Magic Quest']"
662570;['Android John', 'Voxel Warfare Online', 'Mahjongg Investigations: Under Suspicion', 'Crush Your Enemies', 'Way of the Red']
381620;['Lost Cities', 'Infernal Racket', 'World In Danger', 'Train Simulator: Union Pacific Heritage SD70ACes Loco Add-On', 'BlackShot - Black Pack']
714020;['Princess Maker 2 Refine', 'The Sims™ 3 High-End Loft Stuff', 'Neon Chrome', 'Dr. Spacezoo', 'Sid Meier’s Ace Patrol: Pacific Skies']
759920;['DeathCrank', 'Blackfaun', 'The Way - Soundtrack', 'Carmageddon Max Pack', 'DARIUSBURST Chronicle Saviours - DoDonPachi Resurrection']
